ev_status,ev_conn,ev_arrival,ev_departure
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
0.54069,1,0.45931,0.44044999999999995
